"Sl. No.",State/UT,"Convicts - Male","Convicts - Female","Convicts - Transgender","Convicts - Total","Undertrials - Male","Undertrials - Female","Undertrials - Transgender","Undertrials - Total","Detenues - Male","Detenues - Female","Detenues - Transgender","Detenues - Total","Others - Male","Others - Female","Others - Transgender","Others - Total",Total
1,"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,80,3,0,83,146,5,0,151,0,0,0,0,0,0,0,0,234
4,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,69,3,0,72,283,6,0,289,211,5,1,217,0,0,0,0,578
8,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Karnataka,0,0,0,0,53,0,0,53,0,0,0,0,0,0,0,0,53
12,Kerala,21,0,0,21,979,7,0,986,0,0,0,0,0,0,0,0,1007
13,"Madhya Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Maharashtra,6,0,0,6,133,8,0,141,0,0,0,0,0,0,0,0,147
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,215,4,0,219,978,40,0,1018,12,0,0,12,1,0,0,1,1250
20,Punjab,27,0,0,27,173,0,0,173,0,0,0,0,0,0,0,0,200
21,Rajasthan,300,0,0,300,270,0,0,270,0,0,0,0,0,0,0,0,570
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Tamil Nadu",0,1,0,1,88,43,0,131,0,0,0,0,0,0,0,0,132
24,Telangana,3,0,0,3,79,3,0,82,0,0,0,0,0,0,0,0,85
25,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Uttar Pradesh",417,22,5,444,0,69,0,69,0,0,0,0,0,0,0,0,513
27,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"West Bengal",32,1,0,33,824,40,0,864,0,0,0,0,7,0,0,7,904
"Total (States)","Total (States)",1170,34,5,1209,4006,221,0,4227,223,5,1,229,8,0,0,8,5673
29,"A & N Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Jammu & Kashmir",0,0,0,0,165,0,0,165,0,0,0,0,0,0,0,0,165
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total (UTs)","Total (UTs)",0,0,0,0,165,0,0,165,0,0,0,0,0,0,0,0,165
"Total (All-India)","Total (All-India)",1170,34,5,1209,4171,221,0,4392,223,5,1,229,8,0,0,8,5838
