Category,State/UT,"Fault of Driver - Cases","Fault of Driver - Injured","Fault of Driver - Died","Sabotage by Extremist/Terrorist/Others - Cases","Sabotage by Extremist/Terrorist/Others - Injured","Sabotage by Extremist/Terrorist/Others - Died","Signalmen's Error - Cases","Signalmen's Error - Injured","Signalmen's Error - Died","Mechanical Failures (like Poor Design, Track Faults, Bridge/Tunnel Collapse etc.) - Cases","Mechanical Failures (like Poor Design, Track Faults, Bridge/Tunnel Collapse etc.) - Injured","Mechanical Failures (like Poor Design, Track Faults, Bridge/Tunnel Collapse etc.) - Died","Other Causes - Cases","Other Causes - Injured","Other Causes - Died","Total - Cases","Total - Injured","Total - Died"
State,"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,755,0,760,755,0,760
State,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,459,0,459,0,0,0,459,0,459
State,Bihar,0,0,0,0,0,0,8,0,8,0,0,0,1139,47,1143,1147,47,1151
State,Chhattisgarh,37,0,37,0,0,0,0,0,0,30,0,30,345,0,345,412,0,412
State,Goa,0,0,0,0,0,0,0,0,0,1,0,1,48,0,48,49,0,49
State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,571,1,579,571,1,579
State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,806,16,790,806,16,790
State,"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,67,0,68,0,0,0,9,0,9,23,6,24,185,14,170,284,20,271
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,2,0,2,0,0,0,0,0,0,9,0,9,160,0,161,171,0,172
State,"Madhya Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,1078,0,1079,1078,0,1079
State,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,3488,957,2535,3488,957,2535
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Odisha,0,0,0,0,0,0,0,0,0,0,0,0,306,94,306,306,94,306
State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,615,40,576,615,40,576
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,669,17,655,669,17,655
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,"Tamil Nadu",0,0,0,0,0,0,0,0,0,0,0,0,1407,107,1300,1407,107,1300
State,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,408,0,412,408,0,412
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5
State,"Uttar Pradesh",2,0,2,0,0,0,69,0,69,26,0,27,2126,281,1946,2223,281,2044
State,Uttarakhand,0,0,0,0,0,0,0,0,0,5,0,5,20,0,24,25,0,29
State,"West Bengal",10,0,9,0,0,0,0,0,0,6,0,7,2409,146,2266,2425,146,2282
State,"Total (States)",118,0,118,0,0,0,86,0,86,559,6,562,16539,1720,15100,17302,1726,15866
UT,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,676,126,550,676,126,550
UT,"Jammu and Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,0,15
UT,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"Total (UTs)",0,0,0,0,0,0,0,0,0,0,0,0,691,126,565,691,126,565
"Total (All India)","Total (All India)",118,0,118,0,0,0,86,0,86,559,6,562,17230,1846,15665,17993,1852,16431
