Category,State/UT,"Collisions - Cases","Collisions - Injured","Collisions - Died","Derailments - Cases","Derailments - Injured","Derailments - Died","Fall from Train/Collision with People at Tracks - Cases","Fall from Train/Collision with People at Tracks - Injured","Fall from Train/Collision with People at Tracks - Died","Explosion/Fire - Cases","Explosion/Fire - Injured","Explosion/Fire - Died","Others - Cases","Others - Injured","Others - Died","Total - Cases","Total - Injured","Total - Died"
State,"Andhra Pradesh",0,0,0,0,0,0,750,0,755,0,0,0,5,0,5,755,0,760
State,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,459,0,459,0,0,0,0,0,0,459,0,459
State,Bihar,3,0,3,0,0,0,1109,47,1111,0,0,0,35,0,37,1147,47,1151
State,Chhattisgarh,0,0,0,0,0,0,273,0,272,0,0,0,139,0,140,412,0,412
State,Goa,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0,49,0,49
State,Gujarat,0,0,0,0,0,0,571,1,579,0,0,0,0,0,0,571,1,579
State,Haryana,0,0,0,0,0,0,466,9,457,0,0,0,340,7,333,806,16,790
State,"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,11,0,11,16,6,17,238,14,224,0,0,0,19,0,19,284,20,271
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,131,0,132,0,0,0,40,0,40,171,0,172
State,"Madhya Pradesh",0,0,0,0,0,0,586,0,586,0,0,0,492,0,493,1078,0,1079
State,Maharashtra,0,0,0,0,0,0,3285,816,2473,0,0,0,203,141,62,3488,957,2535
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Odisha,0,0,0,0,0,0,165,0,165,0,0,0,141,94,141,306,94,306
State,Punjab,0,0,0,0,0,0,23,0,23,0,0,0,592,40,553,615,40,576
State,Rajasthan,0,0,0,0,0,0,613,17,599,0,0,0,56,0,56,669,17,655
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,"Tamil Nadu",0,0,0,0,0,0,1407,107,1300,0,0,0,0,0,0,1407,107,1300
State,Telangana,0,0,0,0,0,0,408,0,412,0,0,0,0,0,0,408,0,412
State,Tripura,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5
State,"Uttar Pradesh",74,0,72,5,0,5,1602,256,1399,0,0,0,542,25,568,2223,281,2044
State,Uttarakhand,0,0,0,0,0,0,25,0,29,0,0,0,0,0,0,25,0,29
State,"West Bengal",0,0,0,0,0,0,17,12,7,0,0,0,2408,134,2275,2425,146,2282
State,"Total (States)",88,0,86,21,6,22,12181,1279,11036,0,0,0,5012,441,4722,17302,1726,15866
UT,"Andaman and Nicobar Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,676,126,550,676,126,550
UT,"Jammu and Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,0,15
UT,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"Total (UTs)",0,0,0,0,0,0,0,0,0,0,0,0,691,126,565,691,126,565
"Total (All India)","Total (All India)",88,0,86,21,6,22,12181,1279,11036,0,0,0,5703,567,5287,17993,1852,16431
