Particulars," 3-2000"," 4-2000"," 5-2000"," 6-2000"," 7-2000"," 8-2000"," 9-2000"," 10-2000"," 11-2000"," 12-2000"," 3-2002"," 4-2002"," 5-2002"," 6-2002"," 7-2002"," 8-2002"," 9-2002"," 10-2002"," 11-2002"," 12-2002"," 3-2012"," 4-2012"," 5-2012"," 6-2012"," 7-2012"," 8-2012"," 9-2012"," 10-2012"," 11-2012"," 12-2012"," 8-2013"," 9-2013"," 10-2013"," 11-2013"," 12-2013"," 1-2014"," 2-2014"," 3-2014"," 4-2014"," 5-2014"
Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474000,436000,589000,718000,800000,720000,738000,669000,504000,421000
Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2723,2825,1906,2110,2553,2110,2076,2553,4391,5072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,4000,5619,6095,7428,5619,6571,5237,20570,13904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12531,12126,8893,15360,12531,12126,14147,16168,30316,35166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35093,30219,40454,44353,40454,45815,35093,46303,41916,41428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.I.S.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18708.15,14091.85,9475.56,11176.3,13362.97,12634.08,14334.82,29398.52,29398.52,30856.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17921.47,15617.28,12545.03,17921.47,20225.66,15873.3,12032.99,20737.7,28674.35,38403.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15644,11552,8424,21179,30806,20939,13959,21901,23345,23346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31593,17325,11975,12484,18344,17070,16306,23185,30065,24969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6105,2458,2335,3032,4138,3483,3155,2499,3114,2828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8492,5530,4740,5332,7109,7702,5925,8689,10960,12047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14741,16281,12981,15401,18481,20241,22002,20021,22443,19581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9989,6855,12926,16060,15277,20369,16843,16256,26832,24285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10532,8526,9779,9654,8902,6896,7772,18430,11284,9528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5909,4787,3590,4862,6582,4862,5236,8004,8078,7855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224717,151002,87455,19990,38968,47987,85753,99038,133884,116483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4129,2154,3471,8079,4788,4788,4189,3890,5566,12388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2827,1960,2185,6425,3084,1478,2153,3213,1638,2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7230,5784,9333,14460,9465,11042,9727,11042,17483,18534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5518,4314,2207,2709,2006,2558,3260,3762,4064,10233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5498,4023,3151,4224,7107,7040,4827,6704,6570,5631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Lanka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9504,6831,10691,27025,30589,47221,25541,30589,30589,33262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3484,3290,1790,2081,4597,2613,2903,4645,5516,6485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10830,5993,4731,6203,6729,5047,4521,9988,14615,12407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73300,55960,33103,38620,66206,50443,40197,69359,82758,98521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63437,54077,70716,118554,106075,69676,53038,74876,107115,147672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Excluding Pakistan and Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181529,126308,107626,103401,145986,130983,128273,172673,212180,248196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persian Gulf",3369,4965,3964,6470,10029,7709,4920,5085,4149,3701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
